,
main
name:THT,type:3D,discipline:0,parameterCategory:0,parameterNumber:2
name:DTHRAD,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:RVT,type:3D,discipline:0,parameterCategory:1,parameterNumber:2
name:RCT,type:3D,discipline:0,parameterCategory:1,parameterNumber:22
name:RIT,type:3D,discipline:0,parameterCategory:1,parameterNumber:23
name:RRT,type:3D,discipline:0,parameterCategory:1,parameterNumber:24
name:RST,type:3D,discipline:0,parameterCategory:1,parameterNumber:25
name:RGT,type:3D,discipline:0,parameterCategory:1,parameterNumber:253
name:RHT,type:3D,discipline:0,parameterCategory:1,parameterNumber:252
name:CIT,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:INPRR3D,type:3D,discipline:0,parameterCategory:1,parameterNumber:65
name:EVAP3D,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:UT,type:3D,discipline:0,parameterCategory:2,parameterNumber:2
name:VT,type:3D,discipline:0,parameterCategory:2,parameterNumber:3
name:WT,type:3D,discipline:0,parameterCategory:2,parameterNumber:9
name:PABST,type:3D,discipline:0,parameterCategory:3,parameterNumber:0
name:CLDFR,type:3D,discipline:0,parameterCategory:6,parameterNumber:7
name:TKET,type:3D,discipline:0,parameterCategory:19,parameterNumber:11
name:SRCT,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:SIGS,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:THM,type:3D,discipline:0,parameterCategory:0,parameterNumber:2
name:RVM,type:3D,discipline:0,parameterCategory:1,parameterNumber:2
name:RCM,type:3D,discipline:0,parameterCategory:1,parameterNumber:22
name:RIM,type:3D,discipline:0,parameterCategory:1,parameterNumber:23
name:RRM,type:3D,discipline:0,parameterCategory:1,parameterNumber:24
name:RSM,type:3D,discipline:0,parameterCategory:1,parameterNumber:25
name:RGM,type:3D,discipline:0,parameterCategory:1,parameterNumber:253
name:RHM,type:3D,discipline:0,parameterCategory:1,parameterNumber:252
name:UM,type:3D,discipline:0,parameterCategory:2,parameterNumber:2
name:VM,type:3D,discipline:0,parameterCategory:2,parameterNumber:3
name:WM,type:3D,discipline:0,parameterCategory:2,parameterNumber:9
name:PABSM,type:3D,discipline:0,parameterCategory:3,parameterNumber:0
name:TKEM,type:3D,discipline:0,parameterCategory:19,parameterNumber:11
name:SRCM,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:LSTHM,type:3D,discipline:0,parameterCategory:0,parameterNumber:2
name:LSRVM,type:3D,discipline:0,parameterCategory:1,parameterNumber:2
name:LSUM,type:3D,discipline:0,parameterCategory:2,parameterNumber:2
name:LSVM,type:3D,discipline:0,parameterCategory:2,parameterNumber:3
name:LSWM,type:3D,discipline:0,parameterCategory:2,parameterNumber:9
name:CO2T,type:3D,discipline:255,parameterCategory:255,parameterNumber:255
name:WTHVMF,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:RHODREF,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:SWD,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:SWU,type:3D,discipline:0,parameterCategory:255,parameterNumber:255
name:T2M,type:H2D,typeOfFirstFixedSurface:103,level:2,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T01,type:H2D,typeOfFirstFixedSurface:255,level:1,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T02,type:H2D,typeOfFirstFixedSurface:255,level:2,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T03,type:H2D,typeOfFirstFixedSurface:255,level:3,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T04,type:H2D,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T05,type:H2D,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:0,parameterNumber:0
name:SEA_SBL_T06,type:H2D,typeOfFirstFixedSurface:255,level:6,discipline:0,parameterCategory:0,parameterNumber:0
name:TS_WATER,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:ACPRG,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:255
name:ACPRR,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:49
name:ACPRS,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:50
name:HU2M,type:H2D,typeOfFirstFixedSurface:103,level:2,discipline:0,parameterCategory:1,parameterNumber:1
name:INPRG,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:68
name:INPRR,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:65
name:INPRS,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:1,parameterNumber:66
name:Q2M,type:H2D,typeOfFirstFixedSurface:103,level:2,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q01,type:H2D,typeOfFirstFixedSurface:255,level:1,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q02,type:H2D,typeOfFirstFixedSurface:255,level:2,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q03,type:H2D,typeOfFirstFixedSurface:255,level:3,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q04,type:H2D,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q05,type:H2D,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:1,parameterNumber:0
name:SEA_SBL_Q06,type:H2D,typeOfFirstFixedSurface:255,level:6,discipline:0,parameterCategory:1,parameterNumber:0
name:MER10M,type:H2D,typeOfFirstFixedSurface:103,level:10,discipline:0,parameterCategory:2,parameterNumber:2
name:ZON10M,type:H2D,typeOfFirstFixedSurface:103,level:10,discipline:0,parameterCategory:2,parameterNumber:3
name:SEA_SBL_U01,type:H2D,typeOfFirstFixedSurface:255,level:1,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U02,type:H2D,typeOfFirstFixedSurface:255,level:2,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U03,type:H2D,typeOfFirstFixedSurface:255,level:3,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U04,type:H2D,typeOfFirstFixedSurface:255,level:4,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U05,type:H2D,typeOfFirstFixedSurface:255,level:5,discipline:0,parameterCategory:2,parameterNumber:1
name:SEA_SBL_U06,type:H2D,typeOfFirstFixedSurface:255,level:6,discipline:0,parameterCategory:2,parameterNumber:1
name:COVER001,type:H2D,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:0
name:ZS,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:6
name:ZSMT,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AVG_ZS,type:H2D,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SIL_ZS,type:H2D,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SSO_STDEV,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:20
name:MIN_ZS,type:H2D,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:MAX_ZS,type:H2D,typeOfFirstFixedSurface:1,discipline:2,parameterCategory:0,parameterNumber:255
name:SSO_ANIS,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:24
name:SSO_DIR,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:21
name:SSO_SLOPE,type:H2D,typeOfFirstFixedSurface:1,discipline:0,parameterCategory:3,parameterNumber:22
name:HO2IP,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2JP,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2IM,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:HO2JM,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSIP,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
name:AOSJP,type:H2D,typeOfFirstFixedSurface:1,discipline:255,parameterCategory:255,parameterNumber:255
